srcIP,dstIp,srcPort,dstPort,numPackets,totalSize
172.16.255.1,70.80.140.19,50983,64588,1,72
194.192.199.252,172.16.255.1,443,10667,36,42038
192.168.3.131,72.14.213.103,57891,80,2,108
192.168.3.131,65.54.95.68,56386,80,6,1046
65.54.95.75,192.168.3.131,80,56091,9,6017
192.168.3.131,65.54.95.140,56027,80,12,3693
65.54.95.140,192.168.3.131,80,56012,30,40969
192.168.3.131,204.14.234.101,57233,443,4,3687
66.209.190.254,172.16.255.1,50983,50023,2,140
192.168.3.131,72.14.213.102,52206,443,6,518
208.50.77.136,192.168.3.131,80,57121,1,60
192.168.3.131,208.50.77.136,57121,80,2,108
206.108.207.155,192.168.3.131,80,56169,4,654
71.67.129.20,172.16.255.1,21319,50983,2,121
208.82.236.130,192.168.3.131,80,58352,8,6374
208.82.236.130,192.168.3.131,80,58486,10,9504
192.168.3.131,208.82.236.129,58666,80,5,879
192.168.3.131,66.235.139.121,56050,80,2,120
109.229.25.126,172.16.255.1,443,10684,8,611
208.82.236.129,192.168.3.131,80,58264,4,456
65.54.95.75,192.168.3.131,80,56139,91,129167
194.171.12.150,172.16.255.1,44386,50983,3,994
212.8.163.80,172.16.255.1,43400,50983,1,60
192.168.3.131,206.108.207.138,56058,80,78,8639
192.168.3.131,72.14.213.102,52201,443,6,518
192.168.3.131,208.82.236.130,58351,80,7,833
114.33.52.13,172.16.255.1,38843,50983,1,60
192.168.3.131,72.14.213.105,57721,443,2,108
209.105.148.72,172.16.255.1,56138,50983,1,60
172.16.255.1,204.9.163.160,50983,35777,3,462
72.14.213.18,192.168.3.131,443,49673,88,11885
10.0.2.15,10.0.2.3,57524,53,2,176
192.168.3.131,66.235.139.121,56021,80,6,1671
65.55.206.199,192.168.3.131,80,56411,42,58750
207.46.96.145,10.0.2.15,80,2529,48,36940
69.63.181.15,192.168.3.131,5480,57192,2,120
65.54.95.75,192.168.3.131,80,56067,50,61432
10.0.2.15,10.0.2.3,59365,53,2,172
172.16.255.1,172.16.255.255,137,137,12,1104
72.14.213.102,192.168.3.131,443,52208,5,492
72.14.213.105,192.168.3.131,443,57721,4,326
192.168.3.131,206.108.207.139,55960,80,20,6891
72.14.213.102,192.168.3.131,443,52205,5,2337
82.58.187.140,172.16.255.1,43187,50983,1,60
172.16.255.1,204.9.163.158,10620,80,5,347
72.14.213.149,192.168.3.131,80,56421,4,2464
65.54.95.75,192.168.3.131,80,56064,115,165205
192.168.3.131,12.129.210.71,56167,80,5,1166
192.168.3.131,72.14.213.102,52204,443,6,518
195.27.155.11,192.168.3.131,80,56061,8,1662
208.82.236.130,192.168.3.131,80,58351,10,9730
192.168.3.131,208.82.236.130,58352,80,6,779
65.54.95.140,192.168.3.131,80,56500,31,40319
10.0.2.15,10.0.2.3,50559,53,2,148
109.173.29.34,172.16.255.1,443,10697,7,532
10.0.2.15,207.46.96.145,2529,5480,29,2477
172.16.255.1,194.165.188.79,10625,33033,1,66
192.168.3.131,72.14.213.149,56421,80,4,943
65.54.95.140,192.168.3.131,80,56041,21,24353
172.16.255.1,92.224.118.42,50983,50289,2,148
184.24.133.32,192.168.3.131,80,55961,3,702
65.55.206.199,192.168.3.131,80,56034,26,31150
207.46.148.38,192.168.3.131,80,56042,3,749
188.22.186.229,172.16.255.1,14487,50983,1,68
172.16.255.1,212.8.163.80,10672,54900,2,132
65.54.95.216,192.168.3.131,80,56044,17,19061
172.16.255.1,67.82.196.121,50983,10662,1,64
65.54.95.140,192.168.3.131,80,56502,12,11796
69.255.24.214,172.16.255.1,24506,50983,1,93
208.82.236.130,192.168.3.131,80,58377,9,8838
65.54.95.68,192.168.3.131,80,56092,8,5440
111.249.130.107,172.16.255.1,42403,50983,1,60
10.0.2.15,64.4.35.57,2550,61863,16,1656
71.224.25.112,172.16.255.1,33695,50983,2,153
207.46.113.78,10.0.2.15,443,2544,16,8171
192.168.3.131,65.54.95.140,56041,80,16,2681
192.168.3.131,207.46.0.109,56051,80,14,7729
192.168.3.131,207.46.148.38,56052,80,5,921
178.144.253.171,172.16.255.1,43217,50983,1,93
192.168.3.131,65.54.95.75,56214,80,6,1046
208.50.77.73,192.168.3.131,5480,57150,1,60
65.54.95.39,192.168.3.131,80,56055,15,10809
72.14.213.103,192.168.3.131,80,57900,2,120
65.54.95.39,192.168.3.131,80,56056,10,4780
65.54.95.66,192.168.3.131,80,56057,10,6520
65.54.95.140,192.168.3.131,80,56128,7,4736
172.16.255.1,69.126.180.28,50983,443,1,60
172.16.255.1,190.39.220.172,50983,443,1,60
207.46.148.38,192.168.3.131,80,56163,3,749
207.46.0.109,192.168.3.131,80,56051,32,22819
192.168.3.131,65.54.95.39,56059,80,13,2859
192.168.3.131,195.27.155.11,56061,80,14,6527
192.168.3.131,65.54.95.75,56064,80,54,4282
208.50.77.73,192.168.3.131,80,57173,1,60
10.0.2.15,207.46.113.78,2544,5443,13,3352
65.54.95.68,192.168.3.131,80,56065,123,179908
192.168.3.131,208.82.236.129,58786,80,5,878
192.168.3.131,207.46.148.38,56357,80,5,927
192.168.3.131,65.54.95.75,56066,80,12,1297
190.164.247.173,172.16.255.1,29044,50983,1,60
66.235.139.121,192.168.3.131,80,56021,9,3045
72.14.213.102,192.168.3.131,443,52202,86,73586
192.168.3.131,65.54.95.75,56067,80,38,10986
192.168.3.131,69.63.181.15,57192,80,2,108
192.168.3.131,208.82.236.129,58485,80,5,873
65.54.95.75,192.168.3.131,80,56455,7,3899
65.55.5.232,192.168.3.131,80,55962,10,12099
95.86.252.198,172.16.255.1,6192,50983,2,669
172.16.255.1,109.173.29.34,10690,443,10,698
207.46.148.38,192.168.3.131,80,56420,3,1057
192.168.3.131,204.14.234.101,57233,8443,4,3687
65.54.95.68,192.168.3.131,80,56070,28,36290
72.14.213.138,192.168.3.131,80,57011,5,1616
192.168.3.131,207.46.148.38,56318,80,5,927
192.168.3.131,208.82.236.129,58434,80,5,909
76.74.140.168,192.168.3.131,80,56328,5,324
192.168.3.131,208.82.236.129,58327,80,7,960
192.168.3.131,65.54.95.39,52248,80,6,631
65.54.95.140,192.168.3.131,80,56503,12,10793
192.168.3.131,192.168.3.90,49166,445,10,1410
65.55.206.209,192.168.3.131,80,55953,2,410
208.82.236.129,192.168.3.131,80,58327,8,6484
65.54.95.75,192.168.3.131,80,56113,8,5931
72.14.213.105,192.168.3.131,80,57838,2,120
172.16.255.1,124.144.10.123,50983,50583,1,459
192.168.3.131,65.54.95.75,56090,80,7,1050
72.14.213.167,192.168.3.131,80,57032,2,120
192.168.3.131,207.46.148.38,56129,80,5,927
218.166.122.86,172.16.255.1,22511,50983,2,120
72.14.213.102,192.168.3.131,80,55950,4,727
192.168.3.131,65.54.95.68,56093,80,14,1444
208.82.236.129,192.168.3.131,80,58786,6,3274
65.54.95.140,192.168.3.131,80,56036,36,46833
206.108.207.138,192.168.3.131,80,56058,163,235400
65.54.95.39,192.168.3.131,80,52257,5,476
172.16.255.1,129.132.232.116,50983,7704,2,286
192.168.3.131,65.54.95.68,56070,80,16,1552
192.168.3.131,65.54.95.216,56133,80,19,1794
192.168.3.131,65.55.57.251,57058,5480,1,54
192.168.3.131,208.82.236.129,58264,80,5,835
207.46.148.38,192.168.3.131,80,56135,4,2095
208.82.236.129,192.168.3.131,80,58350,5,2700
192.168.3.131,66.235.139.121,56317,80,3,174
208.82.236.129,192.168.3.131,80,58485,5,2680
192.168.3.131,65.55.118.107,56035,80,8,2763
192.168.3.131,208.82.236.129,58360,80,5,871
24.78.140.118,172.16.255.1,24884,50983,2,196
192.168.3.131,72.14.213.101,55968,80,14,5654
192.168.3.131,208.82.236.130,58361,80,6,779
172.16.255.1,204.9.163.158,10617,80,5,347
208.82.236.130,192.168.3.131,80,58609,12,12694
172.16.255.1,213.166.51.4,10624,33033,1,66
189.126.44.128,172.16.255.1,3192,50983,1,60
89.34.75.134,172.16.255.1,23924,50983,2,121
208.82.236.130,192.168.3.131,80,58353,10,10280
192.168.3.131,65.54.95.75,56479,80,7,1282
192.168.3.131,208.82.238.129,58362,80,2,120
192.168.3.131,72.14.213.138,57011,80,8,3271
208.82.236.130,192.168.3.131,80,58361,10,9386
172.16.255.1,67.215.65.132,10704,445,3,194
174.36.30.111,192.168.3.131,5480,49206,2,312
192.168.3.131,65.54.95.68,56110,80,16,1553
208.82.236.130,192.168.3.131,80,58389,8,6967
192.168.3.131,207.46.148.38,56135,80,5,928
172.16.255.1,194.165.188.76,10635,443,8,768
10.0.2.15,10.0.2.3,59794,53,2,164
192.168.3.131,208.82.236.129,58487,80,5,873
192.168.3.131,208.82.236.130,58378,80,7,833
192.168.3.131,65.54.95.140,56128,80,8,2232
65.55.116.184,10.0.2.15,80,2549,5,718
192.168.3.131,65.54.95.68,56428,80,16,1830
65.54.95.66,192.168.3.131,80,56505,9,6460
65.55.118.107,192.168.3.131,80,56324,3,796
207.46.148.38,192.168.3.131,80,56129,4,2644
172.16.255.1,111.249.130.107,50983,42403,1,76
192.168.3.131,65.54.95.140,56132,80,17,1836
10.0.2.15,65.55.25.60,2498,443,2,108
65.55.17.37,192.168.3.131,80,55971,3,1449
192.168.3.131,207.46.148.38,55955,80,5,730
192.168.3.131,65.54.95.75,56141,80,9,2555
172.16.255.1,71.67.132.22,50983,28376,1,459
72.14.213.103,192.168.3.131,80,57890,2,120
24.192.137.36,172.16.255.1,45156,50983,1,605
172.16.255.1,156.26.54.15,50983,4300,1,68
172.16.255.1,178.144.253.171,50983,43217,1,70
97.103.179.155,172.16.255.1,2151,50983,1,62
192.168.3.131,72.14.213.132,52399,443,10,1673
66.235.136.89,192.168.3.131,443,57250,5,1014
192.168.3.131,208.82.236.130,58517,80,6,779
82.226.125.157,172.16.255.1,45834,50983,1,60
71.67.132.22,172.16.255.1,28376,50983,1,60
65.55.239.163,192.168.3.131,80,55958,9,3780
172.16.255.1,188.22.186.229,50983,14487,1,60
65.55.15.244,10.0.2.15,5480,2536,17,7934
192.168.3.131,208.82.236.129,58388,80,5,901
208.50.77.134,192.168.3.131,5480,57205,1,60
184.85.226.161,172.16.255.1,443,10647,58,67903
172.16.255.1,184.85.226.161,10649,443,16,7216
172.16.255.1,184.85.226.161,10651,443,23,13031
65.54.95.68,192.168.3.131,80,56331,123,179908
172.16.255.1,184.85.226.161,10652,443,25,13155
184.85.226.161,172.16.255.1,443,10649,16,12476
172.16.255.1,204.9.163.158,10618,80,5,347
65.54.95.75,192.168.3.131,80,56438,20,20675
182.166.37.160,172.16.255.1,60573,50983,2,120
10.0.2.15,10.0.2.2,48575,1900,20,3490
172.16.255.1,111.250.201.8,50983,62599,1,74
66.235.143.184,172.16.255.1,443,10648,9,5982
192.168.3.131,208.82.236.129,58788,80,5,878
192.168.3.131,65.54.95.75,56407,80,6,1360
172.16.255.1,128.241.90.211,10655,80,15,1714
207.46.113.78,10.0.2.15,443,2542,12,6172
204.14.234.85,192.168.3.131,8443,57243,148,142853
134.2.48.153,172.16.255.1,8984,50983,1,607
172.16.255.1,190.213.76.21,50983,62669,1,459
128.241.90.211,172.16.255.1,80,10653,26,34744
172.16.255.1,204.9.163.181,10641,443,11,2091
128.241.90.211,172.16.255.1,80,10654,27,35966
128.241.90.211,172.16.255.1,80,10655,19,23687
10.0.2.15,10.0.2.3,54657,53,2,168
65.55.118.107,192.168.3.131,80,56035,6,1281
10.0.2.3,10.0.2.15,53,54657,2,800
10.0.2.15,207.46.96.145,2529,80,29,2477
10.0.2.15,207.46.125.253,2531,7001,2,124
65.55.57.251,192.168.3.131,5480,57058,1,60
10.0.2.15,207.46.125.253,2532,7001,2,124
65.54.95.140,192.168.3.131,80,56039,18,18651
207.46.125.254,10.0.2.15,7001,2532,2,124
65.54.95.39,192.168.3.131,80,56363,9,6687
95.160.236.51,172.16.255.1,32683,50983,1,61
67.215.65.132,172.16.255.1,443,10665,6,1781
10.0.2.15,10.0.2.3,54795,53,2,142
10.0.2.3,10.0.2.15,53,54795,2,454
65.55.25.60,10.0.2.15,5443,2498,1,60
208.50.77.134,192.168.3.131,80,57205,1,60
192.168.3.131,72.14.213.103,57883,80,2,108
10.0.2.15,65.55.15.244,2536,80,13,5691
192.168.3.131,208.50.77.73,57150,80,2,108
10.0.2.15,65.55.15.244,2537,80,11,5640
10.0.2.15,207.46.125.253,2535,7001,4,248
65.55.15.244,10.0.2.15,80,2536,17,7934
192.168.3.131,204.14.234.85,57245,443,47,30809
10.0.2.15,10.0.2.3,58971,53,2,144
65.55.15.244,10.0.2.15,80,2537,13,6481
74.75.251.207,172.16.255.1,39109,50983,1,93
172.16.255.1,173.178.118.29,50983,54049,1,72
207.46.125.253,10.0.2.15,7001,2535,4,248
70.80.140.19,172.16.255.1,64588,50983,1,533
172.16.255.1,109.229.25.126,10684,443,10,699
172.16.255.1,10.1.1.2,10692,50023,2,132
65.54.189.173,10.0.2.15,61863,2528,63,18271
172.16.255.1,109.227.83.14,50983,6536,1,83
208.50.77.73,192.168.3.131,5480,57149,1,60
72.14.213.101,192.168.3.131,80,57024,2,120
192.168.3.131,208.50.77.73,57173,5480,2,108
192.168.3.131,208.50.77.134,57203,80,2,108
192.168.3.131,72.14.213.101,57024,80,2,108
114.46.199.16,172.16.255.1,59468,50983,2,210
207.46.125.254,10.0.2.15,7001,2538,4,248
192.168.3.131,66.235.139.121,56401,80,5,1681
10.0.2.3,10.0.2.15,53,61870,2,690
192.168.3.131,65.54.95.140,56419,80,17,5811
192.168.3.131,208.82.236.129,58265,80,6,942
198.104.200.146,10.0.2.15,80,2539,3,364
192.168.3.131,66.235.133.62,56053,80,4,228
10.0.2.15,91.103.140.2,2546,80,5,802
72.14.213.102,192.168.3.131,443,52211,5,492
72.14.213.156,192.168.3.131,80,57231,2,120
192.168.3.131,72.14.213.102,52210,443,6,813
192.168.3.131,72.14.213.156,57231,80,2,108
72.14.213.103,192.168.3.131,80,57879,2,120
72.14.213.156,192.168.3.131,80,57230,2,120
65.54.95.140,192.168.3.131,80,56319,14,16036
192.168.3.131,72.14.213.103,57897,80,2,108
192.168.3.131,72.14.213.156,57230,80,2,108
172.16.255.1,66.209.190.84,50983,4813,1,70
207.46.105.186,10.0.2.15,80,2540,4,325
172.16.255.1,109.173.29.34,10658,443,9,625
172.16.255.1,109.255.178.86,10659,443,7,582
192.168.3.131,184.24.133.32,55961,80,4,932
172.16.255.1,94.248.101.181,50983,38685,1,76
218.173.246.133,172.16.255.1,21363,50983,1,605
192.168.3.99,192.168.3.131,161,52400,8,992
192.168.3.131,208.82.236.130,58389,80,6,779
71.10.26.41,172.16.255.1,14168,50983,1,60
65.54.95.140,192.168.3.131,80,56040,16,16583
213.64.95.196,172.16.255.1,7892,50983,1,533
99.96.126.9,172.16.255.1,32178,50983,1,60
172.16.255.1,67.215.65.132,10661,443,7,920
192.168.3.131,65.55.118.107,56324,80,6,1730
192.168.3.131,65.54.95.68,56236,80,7,1050
192.168.3.131,65.54.95.68,56331,80,58,3813
204.194.237.136,172.16.255.1,80,10668,6,2250
67.215.65.132,172.16.255.1,443,10661,6,1717
65.54.95.140,192.168.3.131,80,56358,4,1182
172.16.255.1,207.47.250.146,50983,52634,1,74
172.16.255.1,67.215.65.132,10665,443,7,964
172.16.255.1,194.192.199.252,10667,443,22,2029
67.215.65.132,172.16.255.1,443,10664,6,1765
65.54.95.140,192.168.3.131,80,56419,21,22724
172.16.255.1,204.194.237.136,10669,80,7,1020
204.194.237.136,172.16.255.1,80,10669,5,2342
72.14.213.103,192.168.3.131,80,57887,2,120
172.16.255.1,66.209.190.84,50983,53679,1,70
64.4.9.254,10.0.2.15,61863,2527,9,757
204.194.237.136,172.16.255.1,80,10670,6,2348
10.0.2.3,10.0.2.15,53,64982,2,578
172.16.255.1,95.139.1.252,50983,13208,2,139
172.16.255.1,67.84.192.140,50983,443,1,60
172.16.255.1,109.227.83.224,10671,443,9,612
10.0.2.15,207.46.105.186,2540,80,6,729
212.8.163.80,172.16.255.1,54900,50983,2,137
192.168.3.131,69.63.181.15,57198,5480,2,108
95.139.1.252,172.16.255.1,13208,50983,2,210
65.55.15.244,10.0.2.15,5480,2537,13,6481
109.227.83.224,172.16.255.1,443,10671,7,540
172.16.255.1,190.164.247.173,50983,29044,1,76
213.19.120.150,172.16.255.1,16763,50983,1,533
10.0.2.15,10.0.2.3,57632,53,2,172
10.0.2.3,10.0.2.15,53,57632,2,482
192.168.3.131,65.54.95.75,56435,80,29,7653
10.0.2.15,207.46.113.78,2542,443,13,3315
192.168.3.131,74.125.127.148,57213,80,2,108
172.16.255.1,188.246.82.7,50983,32291,1,76
65.54.95.68,192.168.3.131,80,56292,5,468
192.168.3.131,65.54.95.140,56497,80,17,3503
188.246.82.7,172.16.255.1,32291,50983,1,61
10.0.2.3,10.0.2.15,53,61133,2,390
172.16.255.1,114.33.52.13,50983,38843,1,76
192.168.3.131,204.14.234.85,57247,443,36,23898
192.168.3.131,65.54.95.216,56044,80,13,1244
10.0.2.15,65.55.116.184,2543,80,5,1052
172.16.255.1,212.50.66.122,50983,52091,1,74
172.16.255.1,67.163.123.10,50983,39466,1,77
172.16.255.1,145.120.22.109,50983,51491,2,157
80.221.22.161,172.16.255.1,30425,50983,1,498
65.54.95.68,192.168.3.131,80,56112,8,5748
172.16.255.1,212.8.163.80,10678,54900,1,66
192.168.3.131,208.82.236.129,58757,80,5,912
10.0.2.15,10.0.2.3,62310,53,2,148
192.168.3.131,72.14.213.102,52208,443,6,813
192.168.3.131,65.54.95.140,56358,80,6,1280
65.55.116.184,10.0.2.15,80,2543,5,950
204.9.163.158,172.16.255.1,80,10620,5,581
10.0.2.15,207.46.113.78,2544,443,13,3352
65.54.95.75,192.168.3.131,80,56435,44,51290
192.168.3.131,65.54.95.140,56036,80,24,3708
172.16.255.1,109.227.83.224,10696,443,9,637
172.16.255.1,186.80.218.34,50983,3290,2,137
186.80.218.34,172.16.255.1,3290,50983,2,211
172.16.255.1,110.67.111.103,50983,64228,1,74
172.16.255.1,204.194.237.136,10668,80,7,958
110.67.111.103,172.16.255.1,64228,50983,1,60
192.168.3.131,208.50.77.97,57174,5480,2,108
172.16.255.1,125.232.97.116,50983,60875,1,74
192.168.3.131,208.82.236.129,58350,80,5,871
172.16.255.1,212.8.163.80,10674,43400,2,132
192.168.3.131,72.14.213.103,57888,80,2,108
192.168.3.131,65.54.95.75,56436,80,29,10254
84.197.9.59,172.16.255.1,44808,50983,1,62
213.146.189.205,172.16.255.1,443,10688,11,1041
192.168.3.131,65.54.95.140,56359,80,8,2366
65.54.95.140,192.168.3.131,80,56418,34,43460
145.120.22.109,172.16.255.1,51491,50983,2,401
10.0.2.15,10.0.2.3,58511,53,2,168
91.103.140.2,10.0.2.15,80,2546,3,443
192.168.3.131,209.17.73.30,58789,80,64,3901
172.16.255.1,134.2.48.153,50983,8984,1,74
192.168.3.131,208.82.236.130,58668,80,7,833
172.16.255.1,24.192.137.36,50983,45156,1,74
92.224.118.42,172.16.255.1,50289,50983,1,60
172.16.255.1,67.170.187.174,50983,38922,1,76
172.16.255.1,204.9.163.160,10676,35777,2,132
72.14.213.103,192.168.3.131,80,57889,2,120
10.0.2.3,10.0.2.15,53,58511,2,718
10.0.2.15,96.17.8.49,2547,80,9,989
192.168.3.131,65.54.95.68,56140,80,59,3867
118.6.206.252,172.16.255.1,48570,50983,2,996
96.17.8.49,10.0.2.15,80,2547,12,8848
67.170.187.174,172.16.255.1,38922,50983,1,60
174.36.30.111,192.168.3.131,80,49206,2,312
172.16.255.1,145.94.52.184,50983,11610,1,76
192.168.3.131,65.55.239.163,55958,80,18,8642
207.46.113.78,10.0.2.15,5443,2544,16,8171
172.16.255.1,98.243.160.202,50983,53755,1,76
98.243.160.202,172.16.255.1,53755,50983,1,60
204.14.234.101,192.168.3.131,8443,57233,2,1126
172.16.255.1,85.65.191.56,50983,29464,3,228
192.168.3.131,65.54.95.68,56434,80,61,4207
206.108.207.145,192.168.3.131,80,56054,5,1039
172.16.255.1,94.41.86.170,50983,9113,1,76
10.0.2.15,10.0.2.3,59686,53,2,174
72.14.213.147,192.168.3.131,80,57847,2,120
192.168.3.131,72.14.213.147,57847,80,2,108
10.0.2.3,10.0.2.15,53,58971,2,426
129.132.232.116,172.16.255.1,7704,50983,2,404
65.54.95.140,192.168.3.131,80,56026,8,6683
192.168.3.131,208.82.236.129,58542,80,5,873
208.82.236.129,192.168.3.131,80,58542,5,2840
208.82.236.129,192.168.3.131,80,58544,11,9507
172.16.255.1,174.48.244.28,50983,31727,3,608
192.168.3.131,204.9.163.166,58547,80,12,959
172.16.255.1,109.227.83.224,10682,443,9,653
111.250.201.8,172.16.255.1,62599,50983,1,498
109.227.83.224,172.16.255.1,443,10682,7,556
172.16.255.1,204.9.163.160,10685,35777,1,66
70.67.177.253,172.16.255.1,52967,50983,2,414
10.0.2.15,65.55.116.184,2549,80,5,788
192.168.3.131,65.55.57.251,57058,80,1,54
192.168.3.131,65.54.95.68,56511,80,56,3937
172.16.255.1,109.90.123.126,10687,443,10,670
172.16.255.1,2.120.66.172,50983,23852,1,60
65.54.95.68,192.168.3.131,80,56140,126,180070
172.16.255.1,71.10.26.41,50983,14168,1,74
192.168.3.131,65.54.95.75,56313,80,6,1046
192.168.3.131,65.54.95.75,56314,80,6,1046
192.168.3.131,63.215.202.49,55967,80,6,976
66.235.139.121,192.168.3.131,80,56317,8,2516
192.168.3.131,65.54.95.140,56502,80,10,3125
192.168.3.131,65.54.95.140,56503,80,9,3074
192.168.3.131,207.46.0.109,56320,80,15,8385
66.235.133.62,192.168.3.131,80,56323,4,978
184.85.226.161,172.16.255.1,443,10652,24,19344
192.168.3.131,207.46.148.38,56325,80,5,928
10.0.2.15,207.46.125.254,2538,7001,4,248
207.46.148.38,192.168.3.131,80,56325,4,2715
172.16.255.1,212.8.163.80,10675,43400,2,132
10.0.2.15,65.54.167.27,2548,80,30,3529
65.54.95.39,192.168.3.131,80,56326,10,6911
192.168.3.131,76.74.140.168,56327,80,6,947
192.168.3.131,65.54.95.140,56418,80,26,7103
192.168.3.131,208.50.77.134,57202,80,2,108
192.168.3.131,76.74.140.168,56328,80,6,994
65.54.95.75,192.168.3.131,80,56314,5,467
76.74.140.168,192.168.3.131,80,56327,5,815
65.55.5.232,192.168.3.131,80,55957,16,21363
109.227.83.224,172.16.255.1,443,10689,7,563
192.168.3.131,65.54.95.75,56332,80,9,2555
10.0.2.3,10.0.2.15,53,59794,2,722
65.54.95.75,192.168.3.131,80,56332,7,909
64.4.35.57,10.0.2.15,1863,2550,18,1523
172.16.255.1,97.103.179.155,50983,2151,1,197
192.168.3.131,208.82.236.130,58543,80,8,887
172.16.255.1,239.255.255.250,61993,1900,2,349
10.0.2.15,198.104.200.146,2539,5480,5,681
192.168.3.131,208.82.236.129,58544,80,7,1016
192.168.3.131,65.54.95.68,56351,80,6,1046
192.168.3.131,66.235.139.121,56356,80,3,174
24.54.5.14,172.16.255.1,23389,50983,1,62
66.235.139.121,192.168.3.131,80,56356,8,2515
207.46.148.38,192.168.3.131,80,56357,4,2645
65.54.95.140,192.168.3.131,80,56359,9,7885
65.54.95.39,192.168.3.131,80,56060,10,6922
192.168.3.131,66.235.133.62,56361,80,3,174
192.168.3.131,207.46.148.38,56362,80,5,928
172.16.255.1,128.241.90.211,10653,80,18,1863
207.46.148.38,192.168.3.131,80,56362,4,2095
192.168.3.131,65.54.95.39,56363,80,7,1007
192.168.3.131,65.54.95.68,56368,80,58,3813
192.168.3.131,65.54.95.75,56369,80,9,2555
65.54.95.75,192.168.3.131,80,56369,7,909
172.16.255.1,184.85.226.161,10691,443,8,2832
10.0.2.15,10.0.2.3,61133,53,2,172
70.37.129.32,10.0.2.15,80,2552,12,8473
65.54.95.140,192.168.3.131,80,56497,27,30590
65.54.95.68,192.168.3.131,80,56386,5,468
192.168.3.131,208.82.236.130,58609,80,9,941
208.82.236.129,192.168.3.131,80,58608,5,2710
192.168.3.131,72.14.213.120,52497,443,8,1169
10.0.2.15,70.37.129.34,2551,5480,9,1339
208.82.236.129,192.168.3.131,80,58666,5,2870
192.168.3.131,65.55.206.209,55953,80,4,689
192.168.3.131,65.54.95.75,56408,80,6,1360
65.54.95.75,192.168.3.131,80,56407,5,467
192.168.3.131,65.55.206.199,56411,80,26,5171
209.17.73.30,192.168.3.131,80,58790,140,204930
192.168.3.131,65.54.95.140,56414,80,27,7163
204.9.163.158,172.16.255.1,80,10619,5,581
192.168.3.131,65.54.95.140,56417,80,26,7106
65.54.95.140,192.168.3.131,80,56414,40,50711
65.54.95.140,192.168.3.131,80,56415,49,65153
208.82.236.129,192.168.3.131,80,58464,10,9294
192.168.3.131,208.50.77.134,57204,80,2,108
208.82.236.130,192.168.3.131,80,58417,11,10958
65.54.95.140,192.168.3.131,80,56416,48,62041
192.168.3.131,69.63.181.15,57198,80,2,108
192.168.3.131,207.46.148.38,56420,80,5,869
192.168.3.131,65.54.95.140,56422,80,6,1202
65.54.95.140,192.168.3.131,80,56422,4,762
109.90.123.126,172.16.255.1,443,10687,8,621
192.168.3.131,65.54.95.149,56423,80,16,1285
10.0.2.15,70.37.129.34,2554,5480,9,1268
192.168.3.131,66.235.136.89,57242,443,4,239
192.168.3.131,208.82.236.129,58667,80,5,913
65.54.95.149,192.168.3.131,80,56423,25,32262
76.74.140.168,192.168.3.131,80,56499,4,1296
192.168.3.131,72.14.213.148,56424,80,13,1246
72.14.213.148,192.168.3.131,80,56424,24,31841
192.168.3.131,65.54.95.75,56427,80,44,3302
172.16.255.1,147.31.122.1,10621,18165,1,66
65.54.95.75,192.168.3.131,80,56427,90,128578
65.54.95.68,192.168.3.131,80,56428,30,39282
65.54.95.68,192.168.3.131,80,56429,28,30534
192.168.3.131,208.82.236.129,58737,80,5,912
192.168.3.131,72.14.213.103,57893,80,2,108
65.54.95.68,192.168.3.131,80,56433,30,38189
65.54.95.68,192.168.3.131,80,56434,136,198981
94.41.86.170,172.16.255.1,9113,50983,1,607
192.168.3.131,72.14.213.147,57839,80,16,7647
65.54.95.75,192.168.3.131,80,56436,38,45846
172.16.255.1,95.86.252.198,50983,6192,2,147
70.37.129.34,10.0.2.15,80,2553,11,7395
65.54.95.68,192.168.3.131,80,56093,23,28774
192.168.3.131,65.54.95.75,56438,80,18,6188
204.9.163.181,172.16.255.1,443,10639,28,29817
10.0.2.15,10.0.2.255,138,138,2,486
172.16.255.1,24.78.140.118,50983,24884,2,159
10.0.2.15,70.37.129.34,2554,80,9,1268
70.37.129.34,10.0.2.15,80,2554,10,6941
192.168.3.131,65.54.95.75,56454,80,7,1282
65.54.95.75,192.168.3.131,80,56454,8,5222
192.168.3.131,65.54.95.68,56457,80,19,1992
198.104.200.146,10.0.2.15,5480,2539,3,364
192.168.3.131,195.27.155.40,57949,80,2,108
195.27.155.40,192.168.3.131,80,57949,1,60
208.82.238.129,192.168.3.131,80,58362,1,66
66.235.139.121,192.168.3.131,80,56494,3,991
65.54.95.68,192.168.3.131,80,56351,5,468
208.82.236.129,192.168.3.131,80,58667,6,3477
192.168.3.131,65.54.95.68,56510,80,16,1830
208.50.77.134,192.168.3.131,80,57202,1,60
208.82.236.130,192.168.3.131,80,58668,10,9807
208.50.77.97,192.168.3.131,5480,57147,1,60
192.168.3.131,65.54.95.68,56476,80,16,1831
65.55.57.251,192.168.3.131,80,57058,1,60
10.0.2.15,64.4.35.57,2550,1863,16,1656
192.168.3.131,65.54.95.75,56478,80,7,1282
172.16.255.1,208.88.186.242,50983,13392,1,110
65.54.95.68,192.168.3.131,80,56476,28,35915
173.178.118.29,172.16.255.1,54049,50983,1,533
65.54.95.75,192.168.3.131,80,56478,7,3427
10.0.2.15,207.46.113.78,2542,5443,13,3315
172.16.255.1,24.54.5.14,50983,23389,1,203
